SFAM,HP_k35_queries,HP_k35_fam_rate,HP_k36_queries,HP_k36_fam_rate,FoldSeek_queries,FoldSeek_fam_rate,TEA_queries,TEA_fam_rate
0.171875,0,0.0,0,0.0,3,1.0,1,1.0
0.172414,0,0.0,0,0.0,6,1.0,3,1.0
0.173913,0,0.0,0,0.0,3,0.6666666666666666,1,1.0
0.175926,0,0.0,0,0.0,1,1.0,1,1.0
0.176166,0,0.0,0,0.0,1,1.0,0,0.0
0.176471,0,0.0,0,0.0,1,1.0,1,1.0
0.176991,0,0.0,0,0.0,1,1.0,0,0.0
0.178571,0,0.0,0,0.0,1,1.0,0,0.0
0.178947,0,0.0,0,0.0,3,1.0,0,0.0
0.179104,0,0.0,0,0.0,1,1.0,0,0.0
0.179487,0,0.0,0,0.0,1,1.0,2,1.0
0.179775,0,0.0,0,0.0,1,1.0,0,0.0
0.18,0,0.0,0,0.0,1,1.0,0,0.0
0.180851,0,0.0,0,0.0,1,1.0,2,0.5
0.181818,0,0.0,0,0.0,7,1.0,12,1.0
0.182186,0,0.0,0,0.0,1,1.0,0,0.0
0.183673,0,0.0,0,0.0,2,1.0,0,0.0
0.183908,0,0.0,0,0.0,1,1.0,0,0.0
0.184,0,0.0,0,0.0,1,1.0,0,0.0
0.184211,0,0.0,0,0.0,2,1.0,0,0.0
0.185185,0,0.0,0,0.0,6,1.0,2,0.5
0.186047,0,0.0,0,0.0,1,1.0,0,0.0
0.186441,0,0.0,0,0.0,1,1.0,0,0.0
0.186916,0,0.0,0,0.0,1,1.0,0,0.0
0.1875,0,0.0,0,0.0,9,1.0,4,1.0
0.188679,0,0.0,0,0.0,2,1.0,3,1.0
0.188976,0,0.0,0,0.0,1,0.0,0,0.0
0.189474,0,0.0,0,0.0,1,1.0,1,1.0
0.189655,0,0.0,0,0.0,5,1.0,0,0.0
0.190476,0,0.0,0,0.0,2,0.5,0,0.0
0.191489,0,0.0,0,0.0,1,1.0,2,0.5
0.191919,0,0.0,0,0.0,2,1.0,0,0.0
0.192308,0,0.0,0,0.0,2,1.0,5,1.0
0.193548,0,0.0,0,0.0,1,1.0,0,0.0
0.195402,0,0.0,0,0.0,2,1.0,0,0.0
0.195652,0,0.0,0,0.0,1,1.0,1,1.0
0.195876,0,0.0,0,0.0,2,1.0,0,0.0
0.198113,0,0.0,0,0.0,1,1.0,1,1.0
0.2,0,0.0,0,0.0,27,0.9629629629629629,27,0.8888888888888888
0.201613,0,0.0,0,0.0,1,1.0,1,1.0
0.203125,0,0.0,0,0.0,2,1.0,0,0.0
0.20339,0,0.0,0,0.0,1,1.0,0,0.0
0.203704,0,0.0,0,0.0,3,1.0,0,0.0
0.204545,0,0.0,0,0.0,2,1.0,1,1.0
0.206612,0,0.0,0,0.0,1,1.0,0,0.0
0.206731,0,0.0,0,0.0,1,1.0,0,0.0
0.206897,0,0.0,0,0.0,5,1.0,4,1.0
0.207921,0,0.0,0,0.0,1,0.0,0,0.0
0.209677,0,0.0,0,0.0,1,1.0,0,0.0
0.210526,0,0.0,0,0.0,8,1.0,6,1.0
0.211155,0,0.0,0,0.0,1,1.0,0,0.0
0.212121,0,0.0,0,0.0,3,1.0,0,0.0
0.212766,0,0.0,0,0.0,1,1.0,0,0.0
0.212963,0,0.0,0,0.0,1,1.0,1,1.0
0.214286,0,0.0,0,0.0,13,1.0,14,1.0
0.216867,0,0.0,0,0.0,1,1.0,0,0.0
0.217391,0,0.0,0,0.0,2,1.0,3,0.6666666666666666
0.218391,0,0.0,0,0.0,1,1.0,0,0.0
0.21875,0,0.0,0,0.0,4,1.0,8,1.0
0.22,0,0.0,0,0.0,2,1.0,2,0.5
0.221053,0,0.0,0,0.0,2,1.0,0,0.0
0.221649,0,0.0,0,0.0,1,1.0,0,0.0
0.221698,0,0.0,0,0.0,1,1.0,0,0.0
0.222222,0,0.0,0,0.0,13,1.0,9,1.0
0.223108,0,0.0,0,0.0,1,1.0,0,0.0
